,Order_ID,Product,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
258,ORD-099227,Truffle Gift Box,2022-01-01,13.37,2.78,70.49,323,897.9399999999999
259,ORD-067523,White Choco Bar,2022-01-01,10.7,3.19,84.51,217,692.23
263,ORD-054715,Choco Coins Bag,2022-01-02,13.7,2.75,107.43,525,1443.75
275,ORD-152984,Pralines Gift Box,2022-01-02,4.0,11.68,43.77,56,654.0799999999999
276,ORD-179007,Truffle Gift Box,2022-01-02,18.9,3.85,282.14,420,1617.0
288,ORD-182998,Pralines Gift Box,2022-01-02,18.6,2.95,107.99,208,613.6
295,ORD-105406,Truffle Gift Box,2022-01-02,10.8,12.06,64.79,85,1025.1000000000001
297,ORD-052905,70% Dark Bar,2022-01-02,12.9,3.09,157.91,676,2088.8399999999997
298,ORD-070949,Truffle Gift Box,2022-01-02,12.6,2.97,89.42,278,825.6600000000001
318,ORD-018049,70% Dark Bar,2022-01-02,10.1,3.0,41.89,168,504.0
339,ORD-052542,85% Dark Bar,2022-01-02,17.1,11.15,17.12,43,479.45
340,ORD-009342,70% Dark Bar,2022-01-02,11.5,11.96,100.21,106,1267.76
341,ORD-140714,85% Dark Bar,2022-01-02,17.6,17.12,40.82,61,1044.3200000000002
355,ORD-120541,Truffle Gift Box,2022-01-02,9.2,13.29,56.5,82,1089.78
384,ORD-085339,Milk Classic Bar,2022-01-02,6.5,14.86,78.53,55,817.3
417,ORD-000139,Mint Dark Bar,2022-01-02,17.8,2.43,99.82,299,726.57
437,ORD-020359,70% Dark Bar,2022-01-02,3.7,3.3,23.78,76,250.79999999999998
444,ORD-132351,Mixed Assortment Box,2022-01-02,12.68,2.64,147.7,1037,2737.6800000000003
452,ORD-006945,85% Dark Bar,2022-01-02,8.7,12.0,21.71,43,516.0
460,ORD-055123,Truffle Gift Box,2022-01-02,8.3,3.07,43.58,287,881.0899999999999
469,ORD-199949,70% Dark Bar,2022-01-02,9.6,17.33,39.86,46,797.18
483,ORD-156631,Truffle Gift Box,2022-01-02,9.9,2.81,131.66,302,848.62
484,ORD-006647,Truffle Gift Box,2022-01-02,12.7,16.78,75.04,86,1443.0800000000002
497,ORD-138163,Milk Classic Bar,2022-01-02,24.0,10.63,84.65,103,1094.89
499,ORD-154840,Truffle Gift Box,2022-01-02,13.2,3.0,47.68,298,894.0
539,ORD-009889,85% Dark Bar,2022-01-02,7.1,3.14,75.63,141,442.74
544,ORD-039607,Milk Classic Bar,2022-01-02,20.4,2.36,81.14,146,344.56
562,ORD-166730,70% Dark Bar,2022-01-03,16.89,2.57,99.76,276,709.3199999999999
570,ORD-003089,Mixed Assortment Box,2022-01-03,6.4,3.31,68.73,347,1148.57
574,ORD-090973,Mint Dark Bar,2022-01-03,9.9,13.41,72.86,48,643.6800000000001
585,ORD-172397,Milk Classic Bar,2022-01-03,28.5,17.56,75.96,63,1106.28
593,ORD-010733,Almond Crunch Bar,2022-01-03,26.01,3.43,174.28,569,1951.67
603,ORD-140594,Mixed Assortment Box,2022-01-03,23.5,3.29,56.87,398,1309.42
607,ORD-144352,Truffle Gift Box,2022-01-03,13.3,3.82,64.68,186,710.52
617,ORD-019261,Mixed Assortment Box,2022-01-03,15.7,3.35,179.75,628,2103.8
621,ORD-195729,Truffle Gift Box,2022-01-03,20.2,2.64,87.97,121,319.44
632,ORD-116357,Truffle Gift Box,2022-01-03,10.3,2.81,52.1,220,618.2
635,ORD-153326,70% Dark Bar,2022-01-03,10.5,2.92,35.51,120,350.4
641,ORD-134734,70% Dark Bar,2022-01-03,15.4,3.0,69.01,186,558.0
666,ORD-001461,Truffle Gift Box,2022-01-03,12.2,2.88,81.17,317,912.9599999999999
681,ORD-113703,70% Dark Bar,2022-01-03,21.5,11.06,104.72,93,1028.5800000000002
688,ORD-011859,Hazelnut Milk Bar,2022-01-03,15.2,3.57,88.25,212,756.8399999999999
692,ORD-119659,Milk Classic Bar,2022-01-03,14.1,3.87,54.25,210,812.7
712,ORD-059204,85% Dark Bar,2022-01-03,14.9,13.91,80.75,49,681.59
719,ORD-132781,Milk Classic Bar,2022-01-03,7.1,12.07,51.61,44,531.08
724,ORD-036179,Mixed Assortment Box,2022-01-03,18.0,3.07,51.05,333,1022.31
734,ORD-119926,Truffle Gift Box,2022-01-03,15.0,12.79,45.03,86,1099.9399999999998
752,ORD-147883,Hazelnut Milk Bar,2022-01-03,9.2,3.23,182.47,251,810.73
755,ORD-136999,70% Dark Bar,2022-01-03,17.8,13.04,80.62,84,1095.36
782,ORD-130002,70% Dark Bar,2022-01-03,14.7,2.58,26.16,167,430.86
784,ORD-000466,70% Dark Bar,2022-01-03,7.0,3.33,72.79,167,556.11
786,ORD-150862,Almond Crunch Bar,2022-01-03,18.6,17.71,44.17,79,1399.0900000000001
792,ORD-115017,Mixed Assortment Box,2022-01-03,11.93,4.05,64.86,250,1012.5
803,ORD-083626,Truffle Gift Box,2022-01-03,8.2,16.71,101.04,72,1203.1200000000001
810,ORD-135766,Milk Classic Bar,2022-01-03,12.3,3.26,81.88,167,544.42
836,ORD-102997,70% Dark Bar,2022-01-04,17.3,3.21,97.41,234,751.14
851,ORD-017809,White Choco Bar,2022-01-04,4.8,12.2,178.93,84,1024.8
853,ORD-066912,Pralines Gift Box,2022-01-04,15.7,2.7,187.45,361,974.7
860,ORD-014750,Mixed Assortment Box,2022-01-04,18.2,11.78,49.81,-165,-1943.6999999999998
862,ORD-144863,Truffle Gift Box,2022-01-04,14.008275862068967,2.53,94.68448275862069,1211,3063.83
865,ORD-190890,Truffle Gift Box,2022-01-04,16.9,2.92,37.57,170,496.4
868,ORD-176011,White Choco Bar,2022-01-04,16.3,3.31,79.51,143,473.33
871,ORD-126288,85% Dark Bar,2022-01-04,4.8,13.11,94.76,78,1022.5799999999999
884,ORD-194646,70% Dark Bar,2022-01-04,8.7,18.8,53.34,171,3214.8
900,ORD-098599,70% Dark Bar,2022-01-04,4.9,3.44,105.5,-150,-516.0
935,ORD-125179,Mixed Assortment Box,2022-01-04,17.7,13.02,158.86,215,2799.2999999999997
951,ORD-108375,Truffle Gift Box,2022-01-04,12.8,3.59,66.83,315,1130.85
952,ORD-026850,70% Dark Bar,2022-01-04,4.2,3.23,48.25,485,1566.55
968,ORD-033738,Pralines Gift Box,2022-01-04,18.0,2.55,21.36,159,405.45
970,ORD-121333,70% Dark Bar,2022-01-04,21.0,2.89,148.0,276,797.64
972,ORD-146217,Truffle Gift Box,2022-01-04,16.8,3.35,104.94,301,1008.35
979,ORD-066581,Truffle Gift Box,2022-01-04,9.3,3.39,130.27,386,1308.54
1008,ORD-137953,Mixed Assortment Box,2022-01-04,2.8,16.46,42.77,86,1415.5600000000002
1021,ORD-079654,70% Dark Bar,2022-01-04,24.8,2.65,87.03,59,156.35
1024,ORD-037618,Mixed Assortment Box,2022-01-04,13.0,3.72,63.78,377,1402.44
1030,ORD-138832,Truffle Gift Box,2022-01-04,12.9,3.01,89.92,466,1402.6599999999999
1040,ORD-043686,Mixed Assortment Box,2022-01-04,27.8,12.82,23.15,90,1153.8
1061,ORD-143398,White Choco Bar,2022-01-04,12.4,4.34,147.02,270,1171.8
1065,ORD-152540,70% Dark Bar,2022-01-04,3.6,3.38,138.78,173,584.74
1066,ORD-044152,Truffle Gift Box,2022-01-04,28.4,16.31,19.81,54,880.7399999999999
1084,ORD-121548,Milk Classic Bar,2022-01-04,3.9,13.53,84.55,60,811.8
1085,ORD-064905,70% Dark Bar,2022-01-04,16.0,11.55,93.44,128,1478.4
1121,ORD-054049,Mint Dark Bar,2022-01-05,10.6,10.97,63.02,42,460.74
1159,ORD-004344,Mint Dark Bar,2022-01-05,8.4,3.44,81.0,152,522.88
1161,ORD-040595,Mixed Assortment Box,2022-01-05,14.3,3.04,44.86,270,820.8
1164,ORD-114144,70% Dark Bar,2022-01-05,11.4,3.73,40.46,115,428.95
1187,ORD-049484,Almond Crunch Bar,2022-01-05,4.7,2.73,31.68,198,540.54
1188,ORD-049712,Milk Classic Bar,2022-01-05,6.5,2.86,55.11,128,366.08
1232,ORD-129550,70% Dark Bar,2022-01-05,16.1,3.19,66.63,181,577.39
1251,ORD-102548,70% Dark Bar,2022-01-05,7.4,3.54,60.95,111,392.94
1267,ORD-165000,Choco Coins Bag,2022-01-05,15.6,4.06,111.3,374,1518.4399999999998
1269,ORD-034105,70% Dark Bar,2022-01-05,8.7,4.02,30.03,121,486.41999999999996
1297,ORD-044621,70% Dark Bar,2022-01-05,14.7,2.81,135.9,240,674.4
1302,ORD-051124,Mint Dark Bar,2022-01-05,21.0,2.76,137.75,210,579.5999999999999
1326,ORD-118005,Mint Dark Bar,2022-01-05,8.3,2.69,80.44,135,363.15
1328,ORD-165207,Mixed Assortment Box,2022-01-05,14.6,16.56,27.45,71,1175.76
1351,ORD-016958,Pralines Gift Box,2022-01-05,11.2,3.12,54.39,188,586.5600000000001
1359,ORD-190004,Truffle Gift Box,2022-01-05,13.7,2.55,130.71,367,935.8499999999999
1367,ORD-142335,Milk Classic Bar,2022-01-05,18.6,2.65,132.93,243,643.9499999999999
1387,ORD-184216,Almond Crunch Bar,2022-01-05,3.1,12.54,34.22,216,2708.64
1406,ORD-196346,Mixed Assortment Box,2022-01-06,9.5,2.91,42.04,296,861.36
1419,ORD-169960,Mixed Assortment Box,2022-01-06,19.7,12.68,51.31,340,4311.2
1428,ORD-180073,70% Dark Bar,2022-01-06,8.5,13.17,35.68,34,447.78
1430,ORD-112214,Milk Classic Bar,2022-01-06,15.3,3.17,59.27,164,519.88
1472,ORD-022880,Pralines Gift Box,2022-01-06,4.5,18.02,40.61,28,504.56
1475,ORD-163047,70% Dark Bar,2022-01-06,15.5,2.9,126.91,195,565.5
1476,ORD-127176,70% Dark Bar,2022-01-06,17.1,3.03,85.51,178,539.3399999999999
1489,ORD-003816,Almond Crunch Bar,2022-01-06,6.5,14.78,64.65,81,1197.1799999999998
1491,ORD-011624,Truffle Gift Box,2022-01-06,21.7,17.19,59.91,87,1495.5300000000002
1497,ORD-122318,70% Dark Bar,2022-01-06,20.3,13.94,69.77,81,1129.1399999999999
1505,ORD-023220,70% Dark Bar,2022-01-06,10.3,3.13,105.48,164,513.3199999999999
1511,ORD-008183,Pralines Gift Box,2022-01-06,18.8,17.09,137.57,88,1503.92
1514,ORD-096455,Milk Classic Bar,2022-01-06,8.48,14.68,69.91,38,557.84
1525,ORD-069883,Milk Classic Bar,2022-01-06,18.2,3.54,97.35,223,789.42
1528,ORD-141957,70% Dark Bar,2022-01-06,13.4,14.03,55.66,51,715.53
1544,ORD-052461,Truffle Gift Box,2022-01-06,16.3,3.17,67.19,259,821.03
1545,ORD-184801,Truffle Gift Box,2022-01-06,20.9,2.74,99.47,440,1205.6000000000001
1552,ORD-116216,Mixed Assortment Box,2022-01-06,18.4,12.17,35.11,107,1302.19
1557,ORD-110977,Pralines Gift Box,2022-01-06,25.7,3.06,89.4,211,645.66
1564,ORD-113159,Pralines Gift Box,2022-01-06,19.6,2.96,166.63,351,1038.96
1581,ORD-079727,70% Dark Bar,2022-01-06,15.3,13.36,76.35,91,1215.76
1587,ORD-018270,Truffle Gift Box,2022-01-06,4.8,2.88,268.89,390,1123.2
1599,ORD-124540,Truffle Gift Box,2022-01-06,15.9,17.45,66.37,86,1500.7
1607,ORD-003885,70% Dark Bar,2022-01-06,20.6,2.74,177.85,462,1265.88
1623,ORD-091428,Almond Crunch Bar,2022-01-06,15.7,2.46,64.06,319,784.74
1646,ORD-076370,85% Dark Bar,2022-01-06,3.2,13.15,40.58,39,512.85
1658,ORD-194654,70% Dark Bar,2022-01-06,4.5,12.02,112.2,65,781.3
1660,ORD-044774,Almond Crunch Bar,2022-01-06,19.1,11.82,87.67,142,1678.44
1669,ORD-074580,Mixed Assortment Box,2022-01-06,0.7,2.99,83.75,311,929.8900000000001
1678,ORD-138446,White Choco Bar,2022-01-06,21.1,2.93,149.19,264,773.5200000000001
1712,ORD-131724,Almond Crunch Bar,2022-01-07,12.3,2.56,54.58,272,696.32
1743,ORD-091023,Mixed Assortment Box,2022-01-07,15.1,3.37,44.53,270,909.9
1750,ORD-139619,70% Dark Bar,2022-01-07,25.9,3.79,87.76,193,731.47
1751,ORD-091299,70% Dark Bar,2022-01-07,23.2,2.75,70.23,170,467.5
1774,ORD-089627,70% Dark Bar,2022-01-07,14.3,3.0,100.94,219,657.0
1783,ORD-005744,Mixed Assortment Box,2022-01-07,4.3,3.9,54.79,354,1380.6
1798,ORD-016380,Almond Crunch Bar,2022-01-07,9.5,2.82,216.96,442,1246.4399999999998
1807,ORD-088207,70% Dark Bar,2022-01-07,8.3,4.39,108.68,228,1000.92
1808,ORD-163170,85% Dark Bar,2022-01-07,4.4,4.44,86.08,137,608.2800000000001
1829,ORD-146990,Choco Coins Bag,2022-01-07,23.9,3.18,130.97,417,1326.0600000000002
1842,ORD-040262,70% Dark Bar,2022-01-07,4.7,13.81,72.52,48,662.88
1849,ORD-057374,70% Dark Bar,2022-01-07,15.8,3.16,38.88,120,379.20000000000005
1850,ORD-069738,85% Dark Bar,2022-01-07,12.1,2.78,65.21,159,442.02
1855,ORD-080236,Salted Caramel Bar,2022-01-07,16.5,11.61,63.05,60,696.5999999999999
1857,ORD-108845,Milk Classic Bar,2022-01-07,2.8,4.23,35.24,87,368.01000000000005
1890,ORD-006824,Truffle Gift Box,2022-01-07,11.8,2.92,47.45,213,621.96
1891,ORD-147329,Truffle Gift Box,2022-01-07,9.9,12.87,103.21,215,2767.0499999999997
1892,ORD-027517,70% Dark Bar,2022-01-07,14.5,3.44,70.62,113,388.71999999999997
1893,ORD-136078,Pralines Gift Box,2022-01-07,11.7,3.21,87.62,181,581.01
1896,ORD-168547,Truffle Gift Box,2022-01-07,20.1,12.15,84.78,82,996.3000000000001
1908,ORD-033453,70% Dark Bar,2022-01-07,12.6,3.54,58.52,125,442.5
1909,ORD-113239,70% Dark Bar,2022-01-07,4.4,3.06,88.46,122,373.32
1915,ORD-095177,70% Dark Bar,2022-01-07,10.5,2.68,44.25,160,428.8
1924,ORD-059996,Choco Coins Bag,2022-01-07,14.5,2.77,138.66,577,1598.29
1930,ORD-003588,70% Dark Bar,2022-01-07,11.8,2.96,62.27,202,597.92
1959,ORD-055645,Truffle Gift Box,2022-01-07,14.3,2.86,73.26,248,709.28
1967,ORD-195391,Mixed Assortment Box,2022-01-07,6.4,11.96,112.75,164,1961.44
1978,ORD-078831,Mixed Assortment Box,2022-01-07,10.5,3.18,132.03,402,1278.3600000000001
2003,ORD-107674,70% Dark Bar,2022-01-07,11.0,2.59,17.7,86,222.73999999999998
2004,ORD-091266,Truffle Gift Box,2022-01-07,13.3,12.21,51.96,81,989.0100000000001
2007,ORD-177848,70% Dark Bar,2022-01-07,6.0,3.23,93.28,155,500.65
2035,ORD-012472,70% Dark Bar,2022-01-08,9.1,17.46,63.14,44,768.24
2052,ORD-198082,85% Dark Bar,2022-01-08,19.1,3.12,38.38,149,464.88
2056,ORD-151289,Milk Classic Bar,2022-01-08,17.2,16.12,86.56,57,918.84
2060,ORD-113993,70% Dark Bar,2022-01-08,0.3,3.18,174.65,255,810.9000000000001
2067,ORD-080825,70% Dark Bar,2022-01-08,15.1,13.81,141.99,75,1035.75
2075,ORD-109323,Salted Caramel Bar,2022-01-08,18.5,4.43,101.75,227,1005.6099999999999
2090,ORD-190451,70% Dark Bar,2022-01-08,19.0,3.23,321.88,392,1266.16
2091,ORD-142967,70% Dark Bar,2022-01-08,13.2,2.71,43.17,210,569.1
2101,ORD-073519,Pralines Gift Box,2022-01-08,9.3,13.76,151.53,64,880.64
2121,ORD-063873,Pralines Gift Box,2022-01-08,13.0,3.51,145.01,289,1014.39
2132,ORD-156498,70% Dark Bar,2022-01-08,22.6,2.9,96.53,256,742.4
2146,ORD-080851,70% Dark Bar,2022-01-08,16.5,12.21,70.69,65,793.6500000000001
2160,ORD-071888,70% Dark Bar,2022-01-08,11.7,2.81,92.29,233,654.73
2169,ORD-037593,70% Dark Bar,2022-01-08,15.1,5.57551724137931,87.32,207,1154.1320689655172
2200,ORD-062845,Truffle Gift Box,2022-01-08,6.2,3.45,189.64,458,1580.1000000000001
2244,ORD-133254,Mixed Assortment Box,2022-01-08,12.1,11.39,47.58,133,1514.8700000000001
2273,ORD-119100,Hazelnut Milk Bar,2022-01-08,21.5,3.04,26.48,2,6.08
2299,ORD-053662,Mint Dark Bar,2022-01-08,10.8,2.84,112.75,174,494.15999999999997
2309,ORD-125111,Milk Classic Bar,2022-01-08,20.1,2.93,120.84,224,656.32
2318,ORD-145413,85% Dark Bar,2022-01-08,19.0,2.87,130.26,166,476.42
2329,ORD-192331,Mixed Assortment Box,2022-01-08,14.8,3.15,99.57,422,1329.3
2334,ORD-007931,Salted Caramel Bar,2022-01-08,11.7,17.35,87.88,76,1318.6000000000001
2337,ORD-098884,Pralines Gift Box,2022-01-09,15.1,2.63,97.74,212,557.56
2338,ORD-100535,70% Dark Bar,2022-01-09,13.93,3.43,101.03,207,710.01
2349,ORD-026022,Hazelnut Milk Bar,2022-01-09,10.55,11.18,41.13,70,782.6
2427,ORD-009440,Mixed Assortment Box,2022-01-09,14.4,3.11,64.66,327,1016.9699999999999
2436,ORD-059095,Truffle Gift Box,2022-01-09,7.5,18.34,71.78,67,1228.78
2450,ORD-010591,70% Dark Bar,2022-01-09,11.8,3.12,71.96,207,645.84
2452,ORD-042570,70% Dark Bar,2022-01-09,10.8,2.93,78.74,189,553.77
2464,ORD-090317,Milk Classic Bar,2022-01-09,3.6,12.28,61.59,53,650.8399999999999
2478,ORD-192282,Milk Classic Bar,2022-01-09,21.1,13.15,34.52,63,828.45
2487,ORD-081220,70% Dark Bar,2022-01-09,20.1,3.85,466.44,532,2048.2000000000003
2499,ORD-005804,Mixed Assortment Box,2022-01-09,18.3,12.38,298.93,305,3775.9
2501,ORD-066073,70% Dark Bar,2022-01-09,4.5,3.08,45.13,161,495.88
2522,ORD-131007,70% Dark Bar,2022-01-09,10.6,3.21,129.36,285,914.85
2560,ORD-048877,70% Dark Bar,2022-01-09,25.9,3.79,46.97,150,568.5
2569,ORD-171908,70% Dark Bar,2022-01-09,14.8,13.23,70.62,69,912.87
2584,ORD-023166,70% Dark Bar,2022-01-09,15.2,2.46,125.07,222,546.12
2595,ORD-136788,Mint Dark Bar,2022-01-09,10.0,3.15,223.89,178,560.6999999999999
2599,ORD-014298,White Choco Bar,2022-01-09,10.0,3.22,83.45,202,650.44
2604,ORD-060922,Truffle Gift Box,2022-01-09,12.76,2.68,63.02,229,613.72
2611,ORD-061304,70% Dark Bar,2022-01-09,16.2,12.79,20.14,42,537.18
2612,ORD-180191,Truffle Gift Box,2022-01-09,1.5,2.79,110.61,278,775.62
2615,ORD-041327,70% Dark Bar,2022-01-09,16.2,3.29,88.67,155,509.95
2619,ORD-108957,Mixed Assortment Box,2022-01-09,10.5,13.4,113.3,202,2706.8
2672,ORD-020845,White Choco Bar,2022-01-10,19.0,3.65,44.46,170,620.5
2675,ORD-022252,Mixed Assortment Box,2022-01-10,14.5,3.44,30.35,239,822.16
2679,ORD-088144,Truffle Gift Box,2022-01-10,11.7,3.76,34.69,180,676.8
2717,ORD-199048,70% Dark Bar,2022-01-10,6.6,3.67,43.85,117,429.39
2718,ORD-065090,Mixed Assortment Box,2022-01-10,16.4,2.9,76.05,529,1534.1
2749,ORD-105579,Mixed Assortment Box,2022-01-10,9.2,3.55,35.92,329,1167.95
2770,ORD-112715,70% Dark Bar,2022-01-10,15.06,3.24,40.47,162,524.88
2796,ORD-067400,Milk Classic Bar,2022-01-10,21.3,3.19,65.77,262,835.78
2874,ORD-080728,Truffle Gift Box,2022-01-10,15.5,3.28,231.22,505,1656.3999999999999
2879,ORD-086941,Mint Dark Bar,2022-01-10,12.8,3.2,91.68,225,720.0
2888,ORD-154674,Mint Dark Bar,2022-01-10,4.6,3.24,137.81,214,693.36
2931,ORD-160140,85% Dark Bar,2022-01-11,7.1,3.33,96.91,184,612.72
2932,ORD-102478,Truffle Gift Box,2022-01-11,18.5,3.63,52.48,330,1197.8999999999999
2933,ORD-027913,Mixed Assortment Box,2022-01-11,9.4,3.39,17.94,232,786.48
2943,ORD-039205,Milk Classic Bar,2022-01-11,18.8,3.43,64.06,169,579.6700000000001
2944,ORD-198925,Truffle Gift Box,2022-01-11,26.6,2.6,176.05,605,1573.0
2946,ORD-133316,70% Dark Bar,2022-01-11,15.4,2.93,73.61,239,700.27
2977,ORD-181495,Mint Dark Bar,2022-01-11,5.1,2.98,83.82,123,366.54
2988,ORD-108770,Mint Dark Bar,2022-01-11,6.8,13.54,108.12,62,839.4799999999999
2989,ORD-025050,Truffle Gift Box,2022-01-11,16.6,2.88,56.91,246,708.48
2990,ORD-176624,Truffle Gift Box,2022-01-11,5.9,2.85,36.52,182,518.7
2994,ORD-136977,70% Dark Bar,2022-01-11,24.9,2.91,91.2,244,710.0400000000001
2998,ORD-041757,70% Dark Bar,2022-01-11,3.5,3.09,40.07,132,407.88
3002,ORD-031000,70% Dark Bar,2022-01-11,18.0,3.02,128.18,303,915.0600000000001
3011,ORD-086587,Pralines Gift Box,2022-01-11,11.2,13.28,99.8,89,1181.9199999999998
3036,ORD-073108,70% Dark Bar,2022-01-11,19.2,3.32,171.51,320,1062.3999999999999
3040,ORD-199224,Truffle Gift Box,2022-01-11,13.0,3.22,252.19,676,2176.7200000000003
3042,ORD-163561,85% Dark Bar,2022-01-11,23.6,2.96,117.72,327,967.92
3050,ORD-129615,Mixed Assortment Box,2022-01-11,3.8,2.98,32.05,286,852.28
3061,ORD-197887,Choco Coins Bag,2022-01-11,12.2,3.28,246.43,373,1223.4399999999998
3072,ORD-103269,Truffle Gift Box,2022-01-11,13.5,2.82,122.31,514,1449.48
3078,ORD-146333,70% Dark Bar,2022-01-11,14.7,2.71,322.27,564,1528.44
3080,ORD-125828,70% Dark Bar,2022-01-11,21.5,3.19,109.41,382,1218.58
3095,ORD-157670,Mint Dark Bar,2022-01-11,8.0,18.93,58.96,37,700.41
3105,ORD-023486,Truffle Gift Box,2022-01-11,12.56,13.54,51.14,84,1137.36
3117,ORD-002696,Mint Dark Bar,2022-01-11,4.4,2.86,40.79,100,286.0
3121,ORD-022276,85% Dark Bar,2022-01-11,25.2,2.79,108.34,279,778.41
3177,ORD-129924,Pralines Gift Box,2022-01-11,16.0,3.2,157.5,320,1024.0
3190,ORD-135721,Mixed Assortment Box,2022-01-11,5.6,3.49,80.04,438,1528.6200000000001
3193,ORD-110338,85% Dark Bar,2022-01-11,9.6,2.72,118.98,314,854.08
3199,ORD-126881,Milk Classic Bar,2022-01-11,17.3,11.33,73.77,76,861.08
3202,ORD-123847,Mixed Assortment Box,2022-01-11,6.0,3.46,179.02,641,2217.86
3225,ORD-035216,Almond Crunch Bar,2022-01-12,7.8,2.74,204.14,628,1720.72
3241,ORD-102961,Mint Dark Bar,2022-01-12,31.0,17.49,160.9,93,1626.57
3276,ORD-002065,White Choco Bar,2022-01-12,11.4,11.85,209.64,131,1552.35
3279,ORD-024795,Mixed Assortment Box,2022-01-12,5.2,4.37,29.61,354,1546.98
3284,ORD-046705,Salted Caramel Bar,2022-01-12,11.4,12.36,16.19,105,1297.8
3286,ORD-078119,70% Dark Bar,2022-01-12,20.8,2.92,77.35,338,986.9599999999999
3291,ORD-035037,70% Dark Bar,2022-01-12,20.1,3.31,165.66,371,1228.01
3300,ORD-041276,70% Dark Bar,2022-01-12,2.6,3.51,36.5,136,477.35999999999996
3301,ORD-144887,Choco Coins Bag,2022-01-12,12.1,3.33,77.22,339,1128.8700000000001
3306,ORD-177866,Milk Classic Bar,2022-01-12,6.1,3.31,34.89,166,549.46
3309,ORD-010028,70% Dark Bar,2022-01-12,24.1,16.54,50.88,89,1472.06
3311,ORD-159561,Milk Classic Bar,2022-01-12,1.9,4.02,133.53,164,659.28
3329,ORD-039853,70% Dark Bar,2022-01-12,21.5,2.88,92.08,371,1068.48
3336,ORD-042591,70% Dark Bar,2022-01-12,10.2,3.9,137.71,299,1166.1
3345,ORD-036997,Mixed Assortment Box,2022-01-12,6.0,14.21,30.77,325,4618.25
3353,ORD-154542,Salted Caramel Bar,2022-01-12,15.85,3.65,50.25,289,1054.85
3354,ORD-183714,Mixed Assortment Box,2022-01-12,13.7,13.23,53.25,628,8308.44
3357,ORD-110149,70% Dark Bar,2022-01-12,13.0,13.55,41.98,73,989.1500000000001
3358,ORD-044300,70% Dark Bar,2022-01-12,4.8,2.95,45.11,323,952.85
3373,ORD-094321,Mint Dark Bar,2022-01-12,11.9,2.78,94.38,246,683.88
3375,ORD-017827,85% Dark Bar,2022-01-12,7.7,3.27,99.98,290,948.3
3385,ORD-133376,Mixed Assortment Box,2022-01-12,5.7,3.03,90.26,429,1299.87
3401,ORD-198084,Pralines Gift Box,2022-01-12,4.6,2.84,57.71,219,621.9599999999999
3405,ORD-171699,70% Dark Bar,2022-01-12,20.6,3.28,97.32,360,1180.8
3432,ORD-071450,Mixed Assortment Box,2022-01-12,7.2,3.13,102.95,598,1871.74
3440,ORD-171387,Milk Classic Bar,2022-01-12,10.2,2.94,72.85,260,764.4
3449,ORD-114443,Truffle Gift Box,2022-01-12,7.3,3.13,65.34,241,754.3299999999999
3451,ORD-171888,Almond Crunch Bar,2022-01-12,6.3,12.22,32.56,110,1344.2
3476,ORD-066116,70% Dark Bar,2022-01-12,14.4,13.07,196.3,154,2012.78
3516,ORD-104069,70% Dark Bar,2022-01-12,16.9,2.38,53.34,411,978.18
3541,ORD-101395,Mint Dark Bar,2022-01-13,24.2,3.44,42.07,246,846.24
3543,ORD-003868,70% Dark Bar,2022-01-13,4.4,18.08,63.62,46,831.68
