,Order_ID,Product,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
2113,ORD-053588,70% Dark Bar,2022-01-08,8.8,2.96,61.67,140,414.4
2316,ORD-170675,70% Dark Bar,2022-01-08,12.7,2.95,43.89,133,392.35
2359,ORD-179966,Pralines Gift Box,2022-01-09,9.5,11.62,47.41,51,592.62
2383,ORD-042295,Mint Dark Bar,2022-01-09,14.7,3.86,159.3,159,613.74
2399,ORD-144621,Mixed Assortment Box,2022-01-09,16.0,3.48,83.57,887,3086.7599999999998
2414,ORD-136641,Almond Crunch Bar,2022-01-09,4.3,3.4,65.71,146,496.4
2490,ORD-174637,70% Dark Bar,2022-01-09,24.7,14.24,38.24,172,2449.28
2495,ORD-089941,70% Dark Bar,2022-01-09,1.6,16.88,53.36,26,438.88
2496,ORD-053298,White Choco Bar,2022-01-09,8.5,3.1,61.84,131,406.1
2504,ORD-099097,70% Dark Bar,2022-01-09,20.7,3.53,82.26,184,649.52
2512,ORD-117858,Mixed Assortment Box,2022-01-09,18.6,11.54,113.13,159,1834.86
2515,ORD-120591,Pralines Gift Box,2022-01-09,4.1,3.54,147.14,157,555.78
2537,ORD-146592,70% Dark Bar,2022-01-09,9.9,3.21,70.16,146,468.65999999999997
2571,ORD-011308,Salted Caramel Bar,2022-01-09,6.7,13.1,67.32,47,615.6999999999999
2624,ORD-180844,70% Dark Bar,2022-01-09,20.5,3.01,94.48,185,556.8499999999999
2634,ORD-127722,70% Dark Bar,2022-01-10,12.5,3.11,135.19,253,786.8299999999999
2813,ORD-160756,Hazelnut Milk Bar,2022-01-10,7.7,2.9,79.64,160,464.0
2843,ORD-016414,Milk Classic Bar,2022-01-10,28.7,2.48,45.44,180,446.4
2902,ORD-038351,85% Dark Bar,2022-01-10,17.0,2.96,120.89,167,494.32
2920,ORD-098874,70% Dark Bar,2022-01-10,13.6,2.66,49.9,150,399.0
2942,ORD-003059,Milk Classic Bar,2022-01-11,27.3,16.01,47.41,53,848.5300000000001
2950,ORD-137463,White Choco Bar,2022-01-11,14.6,2.76,33.98,173,477.47999999999996
3035,ORD-081424,Truffle Gift Box,2022-01-11,11.9,3.37,68.03,230,775.1
3043,ORD-025147,70% Dark Bar,2022-01-11,9.6,3.55,118.46,196,695.8
3045,ORD-063302,Truffle Gift Box,2022-01-11,3.2,3.06,116.85,220,673.2
3053,ORD-053120,70% Dark Bar,2022-01-11,12.2,3.33,38.65,97,323.01
3120,ORD-065299,Mint Dark Bar,2022-01-11,13.2,12.42,47.84,36,447.12
3157,ORD-117363,Milk Classic Bar,2022-01-11,13.3,3.39,55.2,200,678.0
3221,ORD-057233,Mint Dark Bar,2022-01-12,14.9,3.13,34.59,147,460.10999999999996
3258,ORD-117635,Truffle Gift Box,2022-01-12,2.1,2.45,98.01,334,818.3000000000001
3268,ORD-021904,70% Dark Bar,2022-01-12,16.0,3.53,25.04,96,338.88
3275,ORD-049773,Truffle Gift Box,2022-01-12,14.15,2.88,116.54,413,1189.44
3298,ORD-186496,70% Dark Bar,2022-01-12,18.0,15.6,92.77,85,1326.0
3326,ORD-164908,Mint Dark Bar,2022-01-12,10.7,2.87,41.53,2,5.74
3333,ORD-034379,Pralines Gift Box,2022-01-12,13.2,3.17,146.72,235,744.9499999999999
3419,ORD-140969,Pralines Gift Box,2022-01-12,29.46,3.51,87.53,197,691.4699999999999
3481,ORD-094634,70% Dark Bar,2022-01-12,3.0,12.75,43.71,43,548.25
3522,ORD-145857,70% Dark Bar,2022-01-13,17.7,2.94,68.65,175,514.5
3533,ORD-019577,Mint Dark Bar,2022-01-13,2.9,3.48,150.75,169,588.12
3535,ORD-062811,70% Dark Bar,2022-01-13,15.8,3.09,214.69,268,828.12
3565,ORD-068402,Salted Caramel Bar,2022-01-13,11.8,3.0,53.15,142,426.0
3568,ORD-126393,Truffle Gift Box,2022-01-13,20.2,3.28,122.52,228,747.8399999999999
3684,ORD-128017,70% Dark Bar,2022-01-13,10.4,3.07,71.96,149,457.42999999999995
3686,ORD-192582,Almond Crunch Bar,2022-01-13,5.9,3.65,53.22,234,854.1
3700,ORD-076688,Milk Classic Bar,2022-01-13,21.0,3.4,58.66,159,540.6
3775,ORD-067602,Salted Caramel Bar,2022-01-13,12.4,3.28,53.97,150,491.99999999999994
3801,ORD-121946,White Choco Bar,2022-01-14,9.4,3.16,138.38,221,698.36
3809,ORD-144304,Pralines Gift Box,2022-01-14,10.9,12.59,46.62,65,818.35
3823,ORD-158365,Truffle Gift Box,2022-01-14,19.3,12.2,162.45,151,1842.1999999999998
3831,ORD-036403,70% Dark Bar,2022-01-14,2.2,3.77,170.07,112,422.24
3870,ORD-009208,Milk Classic Bar,2022-01-14,13.6,2.78,88.29,161,447.58
3882,ORD-150417,Pralines Gift Box,2022-01-14,23.3,2.88,75.58,235,676.8
3885,ORD-157400,70% Dark Bar,2022-01-14,9.7,3.23,163.94,582,1879.86
3920,ORD-070278,Milk Classic Bar,2022-01-14,13.2,2.92,44.07,109,318.28
3936,ORD-063333,70% Dark Bar,2022-01-14,16.7,3.25,41.85,118,383.5
3946,ORD-085873,70% Dark Bar,2022-01-14,5.3,4.17,25.02,71,296.07
3993,ORD-149979,Mixed Assortment Box,2022-01-14,7.5,2.9,120.49,456,1322.3999999999999
4001,ORD-131150,70% Dark Bar,2022-01-14,8.0,2.39,64.5,152,363.28000000000003
4002,ORD-018276,70% Dark Bar,2022-01-14,14.7,11.39,157.3,63,717.57
4052,ORD-064955,Salted Caramel Bar,2022-01-14,17.7,3.2,123.76,308,985.6
4055,ORD-080708,Milk Classic Bar,2022-01-14,15.8,2.96,102.13,191,565.36
4078,ORD-052365,85% Dark Bar,2022-01-15,16.1,2.57,80.77,178,457.46
4097,ORD-019093,Milk Classic Bar,2022-01-15,11.7,3.04,79.79,136,413.44
4111,ORD-079227,70% Dark Bar,2022-01-15,13.8,2.87,54.13,113,324.31
4322,ORD-060800,Mint Dark Bar,2022-01-15,10.4,3.3,67.27,133,438.9
4345,ORD-122475,70% Dark Bar,2022-01-15,22.5,12.56,85.3,60,753.6
4375,ORD-006997,Mint Dark Bar,2022-01-16,10.5,3.39,95.17,91,308.49
4387,ORD-024858,70% Dark Bar,2022-01-16,10.5,11.76,42.93,44,517.4399999999999
4431,ORD-029301,Almond Crunch Bar,2022-01-16,12.6,2.83,121.45,358,1013.14
4497,ORD-093030,85% Dark Bar,2022-01-16,20.0,2.95,222.16,261,769.95
4560,ORD-075442,Milk Classic Bar,2022-01-16,12.1,3.14,136.53,169,530.66
4562,ORD-071076,Truffle Gift Box,2022-01-16,19.8,12.74,301.93,204,2598.96
4574,ORD-029535,Hazelnut Milk Bar,2022-01-16,6.2,3.64,63.18,98,356.72
4594,ORD-023899,70% Dark Bar,2022-01-16,1.8,3.37,122.12,137,461.69
4596,ORD-184416,Almond Crunch Bar,2022-01-16,31.3,2.93,54.09,286,837.98
4702,ORD-063830,70% Dark Bar,2022-01-17,6.5,16.45,65.61,30,493.5
4737,ORD-090151,Pralines Gift Box,2022-01-17,22.5,3.14,35.04,170,533.8000000000001
4790,ORD-084887,70% Dark Bar,2022-01-17,10.0,10.94,27.66,86,940.8399999999999
4875,ORD-123975,70% Dark Bar,2022-01-17,4.2,3.04,57.79,103,313.12
4962,ORD-082299,Truffle Gift Box,2022-01-18,12.2,11.51,180.29,125,1438.75
5026,ORD-006302,70% Dark Bar,2022-01-18,20.8,2.94,84.57,145,426.3
5170,ORD-009364,Truffle Gift Box,2022-01-18,6.3,3.36,94.6,248,833.28
5171,ORD-073988,Truffle Gift Box,2022-01-18,2.5,2.77,34.71,126,349.02
5218,ORD-029238,70% Dark Bar,2022-01-19,9.7,12.29,142.74,146,1794.34
5276,ORD-071383,Pralines Gift Box,2022-01-19,8.3,3.98,91.92,146,581.08
5303,ORD-186940,Almond Crunch Bar,2022-01-19,16.9,12.02,84.03,-94,-1129.8799999999999
5314,ORD-042597,Mixed Assortment Box,2022-01-19,12.9,2.93,70.02,459,1344.8700000000001
5403,ORD-173650,70% Dark Bar,2022-01-19,24.7,2.83,55.15,973,2753.59
5458,ORD-093056,Truffle Gift Box,2022-01-20,14.5,2.7,144.02,386,1042.2
5516,ORD-104743,Mixed Assortment Box,2022-01-20,26.4,2.75,46.41,350,962.5
5530,ORD-159053,Milk Classic Bar,2022-01-20,15.1,2.79,94.63,90,251.1
5554,ORD-112600,Salted Caramel Bar,2022-01-20,7.1,3.24,41.25,129,417.96000000000004
5572,ORD-097004,Mixed Assortment Box,2022-01-20,6.8,3.44,342.41,287,987.28
5594,ORD-189272,Mixed Assortment Box,2022-01-20,13.4,3.46,126.08,492,1702.32
5598,ORD-185096,70% Dark Bar,2022-01-20,17.2,3.42,83.02,151,516.42
5613,ORD-069345,Mixed Assortment Box,2022-01-20,15.5,2.96,49.68,282,834.72
5662,ORD-128038,70% Dark Bar,2022-01-20,8.3,17.17,109.77,58,995.8600000000001
5686,ORD-123481,Truffle Gift Box,2022-01-20,10.4,17.45,492.98,100,1745.0
5788,ORD-138168,Truffle Gift Box,2022-01-21,10.8,3.05,117.62,331,1009.55
5873,ORD-122962,85% Dark Bar,2022-01-21,28.6,2.95,81.29,193,569.35
5900,ORD-112272,70% Dark Bar,2022-01-21,21.2,2.83,82.88,154,435.82
5904,ORD-198437,70% Dark Bar,2022-01-21,19.0,4.05,57.71,142,575.1
6009,ORD-081712,70% Dark Bar,2022-01-22,19.7,13.42,198.87,103,1382.26
6079,ORD-001513,Truffle Gift Box,2022-01-22,22.5,2.69,102.52,438,1178.22
6085,ORD-138741,Mixed Assortment Box,2022-01-22,19.1,17.89,182.13,164,2933.96
6342,ORD-069911,70% Dark Bar,2022-01-23,16.6,2.96,71.15,237,701.52
6378,ORD-008681,Mint Dark Bar,2022-01-23,16.3,3.28,136.05,118,387.03999999999996
6419,ORD-111970,Mixed Assortment Box,2022-01-23,15.8,2.9,130.81,598,1734.2
6460,ORD-051906,70% Dark Bar,2022-01-23,9.6,3.58,326.21,252,902.16
6485,ORD-128820,Mixed Assortment Box,2022-01-23,19.0,3.08,46.82,376,1158.08
6540,ORD-023725,Mixed Assortment Box,2022-01-23,6.8,14.56,80.21,91,1324.96
6543,ORD-129303,Hazelnut Milk Bar,2022-01-23,11.48,2.44,71.93,143,348.92
6621,ORD-108813,Almond Crunch Bar,2022-01-24,6.6,3.42,24.69,140,478.8
6661,ORD-187986,Mixed Assortment Box,2022-01-24,22.4,3.17,44.2,555,1759.35
6706,ORD-139696,70% Dark Bar,2022-01-24,14.8,16.66,14.35,19,316.54
6708,ORD-119015,Pralines Gift Box,2022-01-24,7.8,3.57,235.19,195,696.15
6728,ORD-112356,Mixed Assortment Box,2022-01-24,27.1,16.83,53.16,113,1901.7899999999997
6782,ORD-030963,Truffle Gift Box,2022-01-24,10.5,3.11,82.27,268,833.48
6804,ORD-122367,Milk Classic Bar,2022-01-24,22.6,2.47,57.92,179,442.13000000000005
6845,ORD-142305,Truffle Gift Box,2022-01-25,11.5,3.52,82.42,139,489.28000000000003
6916,ORD-170873,Truffle Gift Box,2022-01-25,8.0,11.3,276.16,8,90.4
6924,ORD-026596,Truffle Gift Box,2022-01-25,13.2,13.05,108.92,120,1566.0
6954,ORD-084322,Truffle Gift Box,2022-01-25,10.1,3.15,36.51,137,431.55
6963,ORD-087324,70% Dark Bar,2022-01-25,8.1,4.39,34.63,72,316.08
7008,ORD-113309,70% Dark Bar,2022-01-25,9.9,2.83,136.94,239,676.37
7037,ORD-148009,Salted Caramel Bar,2022-01-25,9.4,14.13,51.87,17,240.21
7071,ORD-025607,70% Dark Bar,2022-01-25,12.2,2.78,52.93,193,536.54
7102,ORD-141078,70% Dark Bar,2022-01-25,4.5,3.2,65.19,142,454.40000000000003
7172,ORD-140588,Mixed Assortment Box,2022-01-26,15.0,17.23,69.28,91,1567.93
7248,ORD-094032,Almond Crunch Bar,2022-01-26,20.8,12.57,42.48,84,1055.88
7315,ORD-034865,Mixed Assortment Box,2022-01-26,3.0,3.54,57.18,198,700.92
7391,ORD-152867,White Choco Bar,2022-01-27,11.9,2.86,173.69,274,783.64
7425,ORD-173722,Mixed Assortment Box,2022-01-27,15.7,2.91,140.31,600,1746.0
7431,ORD-034483,Mint Dark Bar,2022-01-27,21.6,3.03,50.63,110,333.29999999999995
7443,ORD-000485,Milk Classic Bar,2022-01-27,12.7,3.52,67.7,168,591.36
7471,ORD-136925,Truffle Gift Box,2022-01-27,11.7,14.27,105.86,74,1055.98
7539,ORD-068127,Truffle Gift Box,2022-01-27,5.1,3.86,94.17,205,791.3
7558,ORD-109202,Mixed Assortment Box,2022-01-27,10.2,3.58,52.35,323,1156.34
7612,ORD-059778,Mixed Assortment Box,2022-01-27,14.1,3.36,25.85,189,635.04
7650,ORD-005292,Mixed Assortment Box,2022-01-28,12.3,2.81,58.6,234,657.54
7670,ORD-089561,Mixed Assortment Box,2022-01-28,25.4,13.08,18.37,86,1124.88
7677,ORD-150779,Mixed Assortment Box,2022-01-28,19.4,17.37,69.85,110,1910.7
7685,ORD-025249,70% Dark Bar,2022-01-28,12.3,3.53,45.8,133,469.48999999999995
7686,ORD-100964,Mixed Assortment Box,2022-01-28,13.9,12.59,48.51,124,1561.16
7737,ORD-026547,Truffle Gift Box,2022-01-28,17.0,13.01,39.62,66,858.66
7875,ORD-152779,70% Dark Bar,2022-01-28,4.8,2.72,93.36,196,533.12
7892,ORD-141035,Truffle Gift Box,2022-01-29,13.3,16.5,57.18,85,1402.5
7987,ORD-119575,Truffle Gift Box,2022-01-29,16.6,12.23,37.76,79,966.1700000000001
8026,ORD-059935,Pralines Gift Box,2022-01-29,19.9,3.42,87.93,152,519.84
8054,ORD-011347,Milk Classic Bar,2022-01-29,14.3,11.2,228.54,120,1344.0
8086,ORD-073167,Mixed Assortment Box,2022-01-29,8.0,3.06,86.8,433,1324.98
8103,ORD-108015,Mint Dark Bar,2022-01-29,18.7,2.88,178.08,154,443.52
8136,ORD-032812,Truffle Gift Box,2022-01-29,8.9,13.18,55.06,68,896.24
8196,ORD-036087,Truffle Gift Box,2022-01-30,14.3,15.52,85.02,78,1210.56
8223,ORD-032115,Truffle Gift Box,2022-01-30,8.0,2.79,39.0,158,440.82
8234,ORD-190120,Almond Crunch Bar,2022-01-30,12.4,3.0,40.73,188,564.0
8266,ORD-141599,70% Dark Bar,2022-01-30,9.3,2.68,88.23,3,8.040000000000001
8313,ORD-103321,Pralines Gift Box,2022-01-30,17.0,3.42,42.0,155,530.1
8325,ORD-130129,Milk Classic Bar,2022-01-30,15.4,17.55,72.27,50,877.5
8351,ORD-080285,Truffle Gift Box,2022-01-30,6.4,2.82,160.59,303,854.4599999999999
8361,ORD-161039,White Choco Bar,2022-01-30,1.2,3.22,58.36,121,389.62
8392,ORD-136408,Mixed Assortment Box,2022-01-30,20.1,3.06,125.2,606,1854.3600000000001
8470,ORD-198833,Almond Crunch Bar,2022-01-31,16.7,17.04,187.59,122,2078.88
8488,ORD-184428,Hazelnut Milk Bar,2022-01-31,5.8,4.19,41.28,76,318.44000000000005
8532,ORD-006876,70% Dark Bar,2022-01-31,14.8,2.96,21.62,135,399.6
8588,ORD-088039,Truffle Gift Box,2022-01-31,6.8,12.19,66.24,63,767.9699999999999
8635,ORD-018263,85% Dark Bar,2022-01-31,12.3,11.37,157.98,71,807.27
8691,ORD-171682,70% Dark Bar,2022-02-01,16.5,3.14,43.37,231,725.34
8694,ORD-131379,Almond Crunch Bar,2022-02-01,10.3,2.78,136.01,277,770.06
8713,ORD-033127,70% Dark Bar,2022-02-01,21.8,3.11,72.42,207,643.77
8735,ORD-003956,85% Dark Bar,2022-02-01,12.6,4.23,89.07,131,554.1300000000001
8764,ORD-035675,70% Dark Bar,2022-02-01,16.9,2.63,87.57,276,725.88
8774,ORD-159899,70% Dark Bar,2022-02-01,8.3,16.5,43.08,33,544.5
8789,ORD-182575,70% Dark Bar,2022-02-01,6.2,3.16,34.14,70,221.20000000000002
8869,ORD-032261,Milk Classic Bar,2022-02-01,13.5,3.09,59.35,164,506.76
8881,ORD-030623,White Choco Bar,2022-02-01,3.9,2.91,66.18,121,352.11
8919,ORD-051017,Salted Caramel Bar,2022-02-01,6.3,2.57,42.45,121,310.96999999999997
8942,ORD-192219,Truffle Gift Box,2022-02-01,4.93,19.29,66.55,195,3761.5499999999997
8958,ORD-090976,Mint Dark Bar,2022-02-02,33.2,2.81,106.43,265,744.65
8962,ORD-124882,85% Dark Bar,2022-02-02,3.7,3.35,126.52,35,117.25
8985,ORD-098890,Choco Coins Bag,2022-02-02,17.7,3.98,65.49,278,1106.44
9025,ORD-173986,Milk Classic Bar,2022-02-02,8.1,3.04,90.07,120,364.8
9031,ORD-110598,Almond Crunch Bar,2022-02-02,14.3,3.38,48.14,268,905.8399999999999
9070,ORD-038509,85% Dark Bar,2022-02-02,7.2,3.35,69.14,96,321.6
9084,ORD-026514,Truffle Gift Box,2022-02-02,7.7,3.04,57.34,185,562.4
9113,ORD-070523,70% Dark Bar,2022-02-02,17.8,2.53,82.34,142,359.26
9134,ORD-082509,70% Dark Bar,2022-02-02,9.6,17.1,83.25,37,632.7
9155,ORD-059112,Truffle Gift Box,2022-02-02,15.9,2.48,93.55,359,890.32
9351,ORD-055308,Truffle Gift Box,2022-02-03,7.5,2.91,151.63,324,942.84
9412,ORD-019562,Milk Classic Bar,2022-02-03,13.2,16.55,123.9,39,645.45
9484,ORD-011758,70% Dark Bar,2022-02-03,17.4,13.67,75.41,50,683.5
9494,ORD-047682,Truffle Gift Box,2022-02-03,27.2,3.74,100.38,314,1174.3600000000001
9501,ORD-052855,Truffle Gift Box,2022-02-03,16.8,2.63,94.82,265,696.9499999999999
9511,ORD-051604,70% Dark Bar,2022-02-03,7.6,3.1,140.49,259,802.9
9561,ORD-163226,70% Dark Bar,2022-02-04,21.0,16.38,89.93,38,622.4399999999999
9597,ORD-019207,70% Dark Bar,2022-02-04,19.8,2.87,75.83,160,459.20000000000005
9616,ORD-131021,70% Dark Bar,2022-02-04,18.1,2.95,39.19,96,283.20000000000005
9617,ORD-030914,Almond Crunch Bar,2022-02-04,3.1,2.8,12.98,81,226.79999999999998
9626,ORD-047383,70% Dark Bar,2022-02-04,18.0,2.61,113.75,139,362.78999999999996
9638,ORD-140126,70% Dark Bar,2022-02-04,27.3,2.89,40.91,137,395.93
9813,ORD-015873,70% Dark Bar,2022-02-04,7.4,3.02,161.91,149,449.98
9818,ORD-000604,Almond Crunch Bar,2022-02-04,25.6,13.14,142.8,105,1379.7
9820,ORD-072227,Truffle Gift Box,2022-02-04,2.3,3.19,39.91,189,602.91
9841,ORD-074649,Truffle Gift Box,2022-02-05,4.9,2.95,58.04,-168,-495.6
9866,ORD-071536,Mint Dark Bar,2022-02-05,9.4,3.09,57.26,96,296.64
9874,ORD-099218,Mint Dark Bar,2022-02-05,9.48,3.54,79.75,109,385.86
9906,ORD-141016,Salted Caramel Bar,2022-02-05,3.8,3.31,137.17,158,522.98
9918,ORD-176216,70% Dark Bar,2022-02-05,6.7,3.18,107.52,179,569.22
9933,ORD-162602,Pralines Gift Box,2022-02-05,14.7,3.33,63.98,160,532.8
10066,ORD-138914,Pralines Gift Box,2022-02-05,23.9,2.9,51.67,206,597.4
10105,ORD-032320,Salted Caramel Bar,2022-02-05,11.9,2.88,42.34,139,400.32
10115,ORD-123821,Salted Caramel Bar,2022-02-05,15.6,4.0,135.95,162,648.0
10145,ORD-155450,70% Dark Bar,2022-02-06,22.9,2.32,87.88,220,510.4
10194,ORD-089004,70% Dark Bar,2022-02-06,12.0,3.12,193.9,216,673.9200000000001
10270,ORD-180313,70% Dark Bar,2022-02-06,12.6,3.04,58.96,122,370.88
10297,ORD-003958,Mint Dark Bar,2022-02-06,17.0,3.09,156.54,183,565.47
10298,ORD-107549,70% Dark Bar,2022-02-06,12.7,11.96,148.31,97,1160.1200000000001
10322,ORD-195685,70% Dark Bar,2022-02-06,12.99,2.64,142.07,169,446.16
10336,ORD-052683,70% Dark Bar,2022-02-06,12.7,17.63,89.49,45,793.3499999999999
10388,ORD-015013,70% Dark Bar,2022-02-07,13.1,13.3,21.78,20,266.0
10435,ORD-140751,70% Dark Bar,2022-02-07,6.8,2.96,167.78,169,500.24
10444,ORD-145321,Truffle Gift Box,2022-02-07,12.1,3.14,114.54,175,549.5
10448,ORD-065489,Truffle Gift Box,2022-02-07,17.3,3.08,69.99,142,437.36
10551,ORD-065491,Mixed Assortment Box,2022-02-07,25.8,2.64,116.28,483,1275.1200000000001
10632,ORD-107801,85% Dark Bar,2022-02-07,10.97,3.21,89.85,340,1091.4
10758,ORD-055090,70% Dark Bar,2022-02-08,16.7,2.47,89.29,115,284.05
10768,ORD-154328,70% Dark Bar,2022-02-08,4.1,2.9,74.95,116,336.4
10780,ORD-174588,70% Dark Bar,2022-02-08,20.7,3.36,40.36,107,359.52
10783,ORD-169511,70% Dark Bar,2022-02-08,23.5,3.19,79.88,166,529.54
10787,ORD-001830,Pralines Gift Box,2022-02-08,8.4,3.16,31.55,110,347.6
10802,ORD-057322,70% Dark Bar,2022-02-08,16.1,2.95,161.74,205,604.75
10807,ORD-165647,70% Dark Bar,2022-02-08,3.5,3.37,60.98,96,323.52
10817,ORD-172916,Milk Classic Bar,2022-02-08,5.2,12.73,88.43,36,458.28000000000003
10858,ORD-143515,Truffle Gift Box,2022-02-08,14.2,3.02,45.97,159,480.18
10862,ORD-125129,70% Dark Bar,2022-02-08,30.1,3.05,115.56,257,783.8499999999999
10870,ORD-152528,70% Dark Bar,2022-02-08,24.2,2.85,41.37,102,290.7
10881,ORD-145616,70% Dark Bar,2022-02-08,19.0,3.1,53.49,143,443.3
10938,ORD-076712,Pralines Gift Box,2022-02-09,5.8,17.58,21.44,17,298.85999999999996
11000,ORD-165570,70% Dark Bar,2022-02-09,15.0,2.77,54.01,153,423.81
11006,ORD-057857,Milk Classic Bar,2022-02-09,9.9,3.08,52.47,110,338.8
11022,ORD-147852,Milk Classic Bar,2022-02-09,9.2,3.32,203.46,155,514.6
11032,ORD-072358,Mixed Assortment Box,2022-02-09,7.54,2.83,62.45,247,699.01
11053,ORD-040023,Milk Classic Bar,2022-02-09,25.5,3.03,37.38,106,321.18
11059,ORD-159610,Almond Crunch Bar,2022-02-09,13.2,3.14,69.11,247,775.58
